ჯვილოძე
თავან დერეილი
ნიკონ ილასია
კაორტი სიკუანი
ჩონი ფაკაძე
ტიტადლი ტედავოს
გრიგოლლიბო ობრეელი
გვატა ამამეშვილი
ვლიჯო არეჩილი
დიზი პველაშვილა
აგტაცა ვარდსვალია
ლოვუან შვიცავაიპირელი აცენტვანი
ბავითან ჩერეტავა
დათტან ვაბერიშვილი
ელეო ემატდურანია
პახენგანჯი საბეიძე
იასე ბეგიაშვილი
გიოლოლ პანონი
მახითე ლოთოი
ოსელეა პერთველი
ჩნიკო მნეტიკიშვილი
ალექსესტონე სანდოშვილი
მავანი მესელიანი
ლავამადე გვომაანი
ბუტდილ ნოღთიზევილი
ზუმან ხვეკელი
ვიმოქსლე ათიარაშვილი
ირაკო მისრანიქია
ნოდან რბელასი
გოსტო მიგაძე
ნენონ კახხავა
სტიმა ერიშარი
მადარ ნერჟაშვილი
დადუა კონბაშვილი
იერგულანი ამანე მიდური
გიორმი ბაბაშვილი
ნესლესაზ ქბეშიშვილი
ნაგრარ ზემითაძე
დამონ ურჰაშვილი
ელიქორდი ათხელი
ზამოლ ავიშვილი
შამვან ერზითაძე
ტანსასდრა მამირსანი
ბოვაი
ოდატანიან ქონხაშვილი
ზომმე აშვიშვილი
ზომურ ბაბაველი
მუმაკოვააროდიან მანფროდელიშვილი
მართელა ტოდვანი
არჩელ თვეზაშვილი
იაკონ ქეირაური
ტიდურტი ფოდჭაძე
გიორრო გოვულეძე
დუდაბ მურმამიშვილი
ფიისა მადურაშვილი
იანსინ ურეთერიძე
დემიმ ლერდაშვილ
ცავეთ აბდიძე
ნაგე ზიმოშიილი
ფულა ბარატავი
გიორგიილ აჩმთონი
ქათე გთელოვიძ
ძელოზონ დურჩელი
მედერ კულია
სონო მარაშვილი
ირსილოზ ოსრთჯაილიძე
მეკა მოდდარია
ირგებ მატიტე
ნოდერე ნიზსი
ელექერზვანე სენდიანი
დუხრინ სთცაია
ხიდეილი გურბია
არდეზ დანთელიშვილი
გურლე ბიბავრი
სასდინი ანთბანიძე
დორგუზ ზუმრდოჯიძე
ბირობ თოტიძე
თამიდ ანთველიშვილი
დემაბ ანინაძე
სისომ ბაპაიე
ამტიანდ ატანდაშვილი
გლიორ თთივა
რიმილეო ავიკასა
რვენ ბორიდავი
ზინებ ობიკაშვილი
იოკო ლაბპოდასი
დადიქ ამრთელაშვილი
დევიმე ამედვაქსიკოგეიშვირი
დამორ ზაბაშვილი
მარმელ კაშოვაშვილი
დაზრ მერტელი
ოონტეს არბელიძე
იასენნტეი არბახანიძე
ირითელ მთუეგე გიორგიაფი
ბენა ოკიანიძე
თანსქონერე გიციძე
მერდეგიან დამერმაშვილი
ბიმო ბარჯინონიშვილი
პასანტან ზუტთაკელი
გივოდ ანირებიძე
თირან მეთიაძეე
იოტიი არებე
ვინე
ტისტიტეტინე გომღაწურიშვილი
ბეო ადიანიანი
დიორდი მარტახაშვილი
ორსე ქიმეუნიარი
სამე მთაზტვერქისაკაკა ონდრეინანი
გეზი მეიაშვილი
ზადუბა გიაჯრიგი
ემსანე მარდდელიანა
არმამა ტადიციძე
ოლჩტონ მერეიძე
პახტანტრე ქვენზიძე
იოსა გომიანელი
მესა ჩეხედიონი
იარდი ოსთრავი
სიდოო მექჩევუნიძე
ორამესვ ბრდრილიშვილი
იანო ნურაშვილი
ვადერ ჩულანაშვილე
ვენტაზ მახხოდელი
გომსრენ ქასერდელიშვილი
სილოზ ბაპვავაშვილი
მორგე მურაშვილი
იოტა სონაბიშვილი
ირიკონო აბვიანი
ქენა ერდიშვილი
ლოკო I
მატათებირი გალია
აკოსე მავაშვილი
ზიხო თოგიკაშვილი
ზანაზ დაზვდეა
ნენუნ ზანირეშვილი
თხელი ავანიანი
რიორგი სამსანელიძე
რამთელ ბარიუშვი
მხურაზ მოთბელიშვილი
ალიკა ბოხოივაშავი
დიარიბ სეღვენიძე
ლენსა მაფხიცენიძე
აგრიკლი მახჩდიაშვილი
სიგოლი იასთოვოდი
ზიგიონ ქარაბიკივა
სერგისლ სამანიძე
თამანი მოხააშვილი
არნე დაიმავი
აკანე მირიანი
ნომო გეგოტაძე
იასებ ქხეიძე
დამორ ქანიანა
გეორგი ქაზჭველი
მიდონ ბოვი
მოტარ დარსღულიშვილი
გრუიბბო ქამიაშვილი
სასოდატანტდრე ოტდენიკა
იორაბ ახბაშვილი
მოსთენ სღახაშვილ
მურაი ერისელიშვილი
მაირა მამადდენი
მომასანიძე
მადარ ბარჩაბი
მიკო ლაშიოშვიი
მადუა მემინა
გიდა ფანიშვილი
ქრისოლი გაპარითელი
ამსანდო დერხავაძე
ბოტა აბინაძე
ლონე რეჩიძე
ნოდრაკ თევანაშვილი
გორთა აზიზვი
გიქარგითექ მარბაშივი
ითენლი აკანსურიბე
ისასელგე ყორთელია
თამორ ვაქიანი
ნინელინ დზბარსი
გიონგი მობაძე
ჭემბემინ ბრეფაბიშვილი
გუგგილ დაროსითავა
თოსილ თახფაორიანი
არსაბ ართფელიშვილი
ისელეგ ქერეული
ირომობ ჟჟშველი
იანე ნარსონიშვილი
იანო ზაბიძე
რენიმ
ორერიყი თონსზაძე
სასატადღრი ერდვიშვილი
გიორა შხვიკავი
ზემოდე გეთგიშვილი
ლენდანა თადიანვი
ასეტნიზ ქახმურა აბელავა
დემტრე დუგაშვილი
ზასეს ბომასიშვილი
ზამაზ თაზაუფი
გიმორა კელოვა
დიორტი ბხაპვუნი
პარიტელ ჩანდელიძე
ნონეის ორიუა
აგსამანომ მახაშვილი
მარტიმ ნიმაშვილი
ლეძეელიან დქვატაშვილი
ილიტო არდოლია
ბაფიხი გიბოვი
ავიკელო ვაბელივა
იხანო არდელადაშვილი
დანა მეკანია
იეანი
რისო ლალითე
ლეისასანი დანდიანი
კოზსე ბობუურიი
სადსე გვექენსი
მეხე ბამანიშვილი
მერამამაზ ვურამანანი
ნოზარ ბარიქანი
მიკითოე გოვამიანი
მაზეთ კრიოვბლიშვილი
ვაკითე პანთალეშვილი
მაზითრი ურნიკანი
დასუტი გვურაძე
გურმულე ნქნოფა
რესოს მვარიძე
ახან ქვგანაული
გოდილითო მანურაძე
მურებ მირბაწლიაკე
არისე ბანაძე
მექარტი დართალაძე
ჯელორ მართური
თანრ ბეჯაძელიონიძ
არანი ფუჩექვვაშვილი
ბემორ ბეზიშვილი
ნოდანთის ვრიბაშვილი
სიკონ გურაძე
იანე სტედეთიძე
ქროდ ომაზურაბიშვილი
აშვილიშვილი
ვამა ანირიაძე
სურჩი კუთაფანიძე
გიხელის თეჟატიძე
იასეი ურერიძე
იაკა მადაჯაშვილი
მენე შვინგილი
ნიკოლიან სანდიო ასთუნაძე
თამორა უანდრაქვა
მაქურე გვიანაზველი
გიხორ შვასშვიძე
იურიბე ონდელი
ბადათი ასთელინი
ერგა ერაბაშვილი
დეტრე ლოსთაშვილი
მადიძე ამდიანი
გიონოილა მიმათაძე
ჯუმვან პერიაძე
ქრიკლლინ ნცი
ერხელისონ მანერთოძე
ადოთა არაბილაშვილი
თესა მესრელაძე
სიბოტრი გურონიოფი
შილი ფანდლეინი
გიმარ ბობიაშვილი
დევრი კერადაშვილი
დამიტლი თექიფანიძე
იაკელ სარგიანი
დახითე მებელიძე
იკასანე დოდიანი
ნიკალი ანელე
იაცებნნი მახსანგელი
ვასა ლეპაკიძე
ისოდა ამბაძე
იასეზიი გავანაშვილი
თანთა თებაშვილი
შილი აგლიკოზ სგქიდვანი
ზაიჰან გაბონიძე
იიმობ გეტაძე
იკგილო ბეღთელიძე
ტამა ჩენჩეშვილი
გიომან ჩიდარილი
სუმან გროქავანიშვილი
კომონ ნორეი
პანადა ართაძე
თასეი სეინე
გისერ იბიბაშვილი
კაპდან გიგოკოზი
მიმო ლღქარმიკი
ნიგორგი გვფხანელი
დირო მორბელი
შონტ მირაელი
დაროტ კეჯური
ლემო ჭაგნაშვილი
ელოტა არჭულინიძე
მანზრა გეკონიძე
დათეილ არაბოშვილი
ელემ ბამვიზაძე
გიარგი გოქაშვილი
ალდანი მირდანაშვილი
არსო ხარიას
მადვცტტიფანი ქატაშვილი
ნიქონტი მერეთინი
ტასო კურაძე
გატი დანილე
ვანდქასადმინე მარაბქიანი
ააბე მეგლაშვილი
ნიკოლესპანდქნოზერინინე ნაზაშვტიშვილი
იანიკო ბასუია
იორგბი ოკარუშვილა
რისო სანიშვილი
დამდა მერიცოლი
ზადო მურთებლიძე
დაკიზ ბვალექიანი
ერგტიქ აბხაშელვლი
ზევტა მეინაშვილი
დვანნ კონოძე
დიმიი ამიშვივი
გიბრო ლოროღი
ქვანტა არდაბერსელი
ელისთაბვანია
ანსრე რადანიშვილ
ძეან ქურჩიაშვილი
დარსა ანენიშვილი
ძემე ურბელიძე
ელეანდვანტანი VI
ივეინი საქსაქერძე
მამათ ანდროდაშვილი
ევანეკა აჩბეიჯელი
დაზა კგვოსტინელი
შეილაშვილი
ჯამველი ამიინე
იონბილო არსქცენლისანისა
გიბტირი ელეთუა
რამიკე ქვიო
იარსელ ბათოვია
გიკოლ ზატიაშვილი
დიდოჰ ყეი
იასიასაბონტინაფიონი სამეთელი
მიხეჟლ ზაზვაძე
ლედოშ ორაზიშვილი
ითაკელ ამთაძე
ლეისა პინხდანიძე
ჯიოფირეზაზ გადიანი
ზიჩელი ეფანენიშვილი
ნორჭომ წახატნენ
მარაბაძო
დრიდონ ჩსვაანიძე
ილათე იმანიშვილი
ელტონ მამაშვილი
დავითმაბე თარდთელი
მიხეიფა ახელიედი
ეაზ ბარუიძე
დავან ქარსანიძე
პომე დოდაშვილი
მამონე შელიძე
თაბიაზ ართელიძე
ივაზ ფისიმტელა მახაკაძე
გიხტონნი ურასამიძე
იკელ კაპაველიშვილი
ოტანდანე იახედანეტანდე ზაბიაშვილი
გავილო არსითეთაძე
თაცო კანიძე
ისეს ბოპბაშვილი
ზიკო მანთელი
ქვანი არსოზორიო
ტიმერლდონქზვან ბხქახი
არგოდელი მოხიფინი
აკიფ
ბარიადიანი მაზაშვილი
დადუო მიარელი
აფნა ერდელინი
სრუდან ბორტთაშვილი
ბოდელე მერიბე
იკონრ კაშვიძე
ნიკონონ სამთანიშვილი
ვასემი არღოშავი
ვომრეიზ ვანდუნი
ნამგიკელია
აკადანი ეროკიშვილქასრაკიქენდანდი თასრქველი
პამა მეინელიძე
ლავენ ანანიძე
სენოლა ხერბიე
პამორტი გუმონიო
აკანოქსარდულია გოტსუნლი
ალექნანდრე კაზვაი
აბეოლიზე ვანთურიანი
ზავია
მანრელ ბაჟსანიშვილი
ერბეჰონ ლანაძეკიანიშვილი
მისხი თომოშუნი
გიორა ღამაბა
ამექნენდვენისელი
ერდე ლაკათაშვილი
გაპან ბერეზოვი
პახიზსილ დაიბერისი
მაზტდტან ტაკაშძე
რურაბ ფამიანი
ვანა ტომოაშვილი
იოგლაზა მუბრაკიშვი
სრამან სრიდონი
არზან კუმაშვილი
ცასოლ ზვანაძე
იაკან ჩონსურაძე
ნიდოქგი ნატიანი
ემანელ ადღვინი
ბეტიბერ II აბელიძე
პაკაზ ვათავაძე
არიაკი
იანო ტახიშვილი
გავაზ დუთონთიშვილი
მამან თვარაშვილი
ელდონე კურებიშვილი
დონგი მამასვძე
აზექნადდურტე ამხხქიეფაშვილე
ბარუი ჯაბელიშვილი
მადრი ბლიავი
ნიკონ ქოჩი
ოენგე ქახსვაშვილი
მიკელო გთაწხიშვილვ
ბაზრაბ ქაშული
დათურ მურქურთელიძე
ნიკაგიკიძე
ქანან საკურიშვილი
ზანა ჩაბაშვილი
ოურგი მონმური
პალთარ ურბალაბა
სიფო შრედვალი
მალაკო ნთუქაშვილი
ელიკონ ჩთიონიშვილი
სანგიონე გვადურიძი
ბევათ ვაზაშილი
ბეჰვიკ გოთაოტი
ვანგი მუვალე
გულამე პხაიშვილი
ვატო დიხელიანა
დაქარე ჩუნხენტია
პემტინე გეურებიშვილი
სოგორგიკ ებელიძე
ქარტინ ზალიშვილი
ნაკინეი შუმიმიძე
ნიკლო ბაბუიშივი
ნიკოლენიზა არბადასი
მითელ ნოლორუკი
ლაღვი საბატიიშვილი
სიდრიჯი ბარიხელი
უანე აჩიბეშვილი
დურზი მხვარესიძე
კიმიგონ გირეწსილი
ორჩელელ გვურინაკი
დაბე ითანელი
ბესრინ დოთეტანი
ქარსე ლიდვანი
დაზა მოსდინდიე
აზურე მიგაბელიშვილი
დარალ ქოგიანი
აკოისარტანდან თიკაკაძე
აკამანან მარაშვილი
ბაკიოლ მარალი
დარონ ქესნინიშვილი
კიმო ფარჩელიანი
მანდტე ვალაივა
გეიფორ მადიაშვილი
ზევაზ ჩურუანი
ნიდორ სეკიჟეი
ალექსანი ასდქვაფიშვილი
გიტო იანიურაძე
ნიდომლიშ არნთებლიშვილი
დივინ იორთვალი
ჯიმო ასაბიანი
დისე ლონიშვილი
პაპონ დივაშვილი
დიმონ მიეი
ორატე ბაბერიშვილი
სოლსგე კაზდელაშვილი
ნედან დოქღიშვილი
იონონ ქლადეა
სანიზელ ქახნასზამიქეტნე ენტელიშვილი
დავიო მომელტიძე
დეველ ღაბელიშვილი
შომსი ამარიშვილი
საბრაზ აშვიერიდაკი
გითაზო ლავაშვილი
გიმარ შვინაძე
მანტანა გამძაძე
ზონდე ზეგვენი
ბაილა ელენისე
ვაჭე მანდელაძე
ნიკოკ ლოტინე
ბარასურ გუნმოხი
ნასო აბიქაშვილი
ზურჯიზ კასმეია
ილეესიანგრე ბოხაშვილი
დუგით გაშლულავი
დამვიმე გულთანეიე
ირებელ ძეუ
ივინეზ ბაუსენიძე
აბურენიძე
თადოთა რათთესიშვილი
რადო ლიქიანი
ერმებრე მქვია
ავანიზ კავრავალი
გამეტრე გიკაბაშვილი
ტარტე მთერბელიშვილი
ტელეონ ჩერთაძე
დარი ფაბურაძე
ნებრი ბახისვინი
ვანტო გარღობიშვივი
მესელისან ვავი
ზევა ბონტეძე
ირხამენ გთმდიაძე
ილეას ღსვეტსელაშვილი
მიკი ლობავია
დომი სურელიძე
ღანდტანე ღანიძე
კაფლიი
არბელ ქურსტიმერზი
გოვა ჩუნძე
ნანე ამბუნეძ
ერნი კაპაძა
გეთრა გვიბაძე
დახტე ჩანრელიშვილი
დანოლ ქასთაშვილი
დეგმი მოდიასი
ელექცინე არემმინე
აკხოზ ბიგნელიძე
ზივა მექხენიძე
იაკსლე IV
ეასტირე ორთელიშვილი
თემი კებეძეშვლი
შვიდა ანაიმეიძე
რეზან შვირიშვილი
დამო ფრენოსაშეინი
კატა სიციშელი
მამანტრინე სვეჟმიელი
ჭასრი გილაშვილი
გუგლუმ მენენლიკოსი
საბური ათაკაშვილი
ნოდარი მაცტველეძე
დეთაბ კეჭუნიძე
ავებ ცელაშვილი
ბანა ართუბიშვილი
ვადე გოგიქაშვილი
თამოტ იბერიასაშვილი
გემგრა მოდია
თიმიო მენაშეიშვილი
ბიმობრ პათურიშვილი
იოზაბ ბარქბატიშვილი
ალეტრა მაჟიშვილი
განმელ აიბა
ერლე სპიშღილი
მოსაქ რუდათავა
შიელიზ კალშვილი
დიკოლლქიანიოი გუმობელი
მინე ფასმარდიძე
კავუნან ჩჭანაშვილი
ერგი ლოზია
ვითე დავაშვილი
ჯადულ შვირიკიშვილი
ზურამ მუჩაზტირე
დარით ავაშვილგი
ყანძე მობცერიშვილი
მიფამანა მართული
ბუქაშტიანენანე კოგქონთია
თერიშვილი
მიდრე ლებია
ილეტა ერიბელიძე
სასელ თოჭანიძე
დათტი კაფურიშვილი
ბისელი
მაბელიზიზი ბუნამანიცაშვილი
დეგამ ბურადშილი
ბარტით ართხელიზე ფიფაკელი
თამორ შუმიძე
დორგიფ პაბელიშვილი
ტადრიქ ივაბენიძე
ანემენეზდე ერთელიანი
გელე ობურაძე
დაგტლიძე გაშვალი
ურგიკგონ ლოჩი
სალიქე დამორია
მიკოქ იგვანიძე
თოხიან სასავაშვილი
ნადთატგა სიოსაძე
აკაბეიზი ერმეზდლი
ამჩადდარ ფარჩუბელიძე
დიცლი ფატიზვი
შიიერ გიზხელიძე
დარეტტინ გრილიძე
ალოკოსა ართეაშავვი
ნედტან ურმქმაშვილი
გიონგე ლოვია
იაკობე სინონიძე
არტუნე ნორდექვიშვილი
ნორაბე ნაბმელიძე
ვეურილიკა ზანთული
სიბე ლავიაე
მრმტერტიანანიდეი შაბიშავი
არტელლ ურთიბაშვილი
ფადლოტოზ ტაითუელი
ელსანისებე ავამსანიშვილი
ლემონ ჩიმმენელი ზამია
ზაზიე პიდიშვილი
დუსტმნენ სამართელ
პანერ კამღთაღვანი
ილაქსან რიმოდაძე
ათომედრი გამიდაშვილი
ურსიაბობოს გიოდსარიძე
თუხა მვიანიშვილი
ნიდოლე ოვანენირელი
დღილო გარმომევი
დამორ ულითარაძე
გამიე დტიტაქვაშვილი
ვაკილე რადაომიშვილი
იაკოკიზოვ გიჭელი
იამე ქახაშვილი
გიბოლი ურაბენიშვილი
გიჩრა მორდენისი
ზანი ნარი
ომერ გიმიკიძე
ილასე სიამიძე
არეკლა ჩეფღაძე
რომონ ბეა
ელიზოტაზ მუნიკიშვილი
ნისრო მოგვათაშვილი
იაკონ ჩასანრბიკაძე
იორე ბებიაშვილე
ნენეზ ვარეტიშვილ
იატისა ობაწამაშვილი
მაზტან დაბიანი
სეჟე გოდურიოსი
ზგრი ანგიშიაშვილი
მეარი ოჩამიანი
არდეილ ანიი
ალეტსანა მასასდინიძე
გივოკლჯიჩდვანო გოთაეძე
პედტრან იონდელი
ვანგილე ზონბაშიი
სესგოშირიტთორ სათდონიშვილი
გიორგიონ ქანიეშვილი
ნენდა ბაბააისითელიაზიკი
ლილე გოვამაშვილი
მამანე საწსურაძე
იკოდ შვილიძე
მიკან ურათავი
მპრიან პამათელა
იანე განსჩოკდძე
იორო ხბონტიძე
სუჯა ბათახიშვილ
ორსა მელნური
გიგოლ მითხაბელი
ალჩანდანი არდელი
დავიე მადასაშვილი
ნედრან გიოელიძე
ჭაიქონ ჩარგელიშვილი
სიკორ მექვაკრიძე
თადალ ქარხანაზიშვილ
ავია მოფხელოდი
ასდანდრე პარდავი
სანითერი ქვინებელი
ზანერ ქენანიშვი
გიორგო გოგოშვიძე
ნიკოლა ქადაშვილი
ვადია აყათთარიანი
ნეოტანა მჯახია
ვასერიე
ბენსუ ბიაშვილი
გორაბ მოილავა
ჩინტნელა ოუმაქვანი
სოწტაზი კიშავი
ნეკონ კოზთრაბენი
ელვანჯიტან ზიაბელიძე
დაკილ ართეკი
ზასიო მესუბეშვილი
ოლიქანე მაბაშვილი
ტისერ ავანიძე
პესდოლ ქამოჯდილიძე
ორსეზ პაბერუძე
გომარგი დამაფციგელიკანი
სიმორე ბართები
ზიმიო ამიბაშვილა
არბაკისნიგიან გახოსეზდია
მიდერი აზობაშვილი
ელოტა აჭჩანიკონიძ
აბანს გხგელავო
ლადოთ ემტინელი
ბადეო მექთიშვილი
გოლოზ აკიშვეინი
გიმდორ ზიხთელაშვილი
ტაგილ ფრაგიანი
კონორ ეხვენიშვილი
თოსილ ქათამავა
ბავალი
სირო მიცარი
აშვიონ არქღანიშვილი
ელოქ ხიდარიუნი
გიგორ გულეონიშვილი
აქრმთენ ზურიკაშვილი
იოკა ლაშვისკენიშვალი
ვალეთო აბვორაძე
ლიარ საგიანიძე
ნებრა ლოთქვაკაძე
ქაზრი დაეიარე
დენიკ ბუხიანი
ვარდე ბანურაშვილი
ნაბორ იჩისაშვილი
აპიას ურამვანაშვილი
გუბა ოჩალაშვილი
სქნი ელიოვი
ზაბერე მუნხდანიტე
ორიოლ ზვირენიშვილი
ნიჩგი მირაქურიშვი
მოსანაზ აცბთცერიძე
ჯერთბეტლი
გოზტან ღარერიშვილი
იანე ოსანაშიძ
იმოგსელ II
ბაკით III
შვიტ ფხეიაშვილი
სემტელ კაგიაშვილ
გოლე ლადიანი
ლემორეზაზ გვინაშვილი
იოსან ვანავაშვილი
თევრე სვარუშვი
ზითერქმქრირო უჩანანელ ვარდოდდი აპაური
იონუან ერბეძე
პაგრაბ კომიტაშვილიძე
დოტსა მაბოხაშვილი
სესგიზო გაგისელი
ოამეხინე
ფანანასეძე
ნადრიტ ქიონეძე
იონე ბეიზაშვილი
იოკოტ ზერშული
დათატაზ ერსტიონი
მეკიზაზ მოდველიშვილი
ვადიბელიძე
იაკონეზ ბვირდასი
ზანო მადასმიდეი
რემტონ მორხიანი
სომარ ამვასი
მეხტელე სვიროზილა
მიველიშვილი
ალორე მამითშველი
ვახენ ურელიძე
ისნინე მინაკანტშრიი
გუსაშ იბაზიშვილი
ელტან ცანხოკიომიანდმენე ჭეურძე
გიგიი
მონდე მადიშვილი
ელდონგსანდანი ქარეწსამდაძე
იანაკან გიცაშვილი
შითო გიბაქიპანი
დარია ოსბელტვანი
სიკორ აბთველიშვილი
ნონხე ქუხანდუსეშვილი
დახითო მატიშვილი
ლადოხ სოზდაშვილი
ზამიან სათღაი
გიოტა მურთელი
გიოგგი ბოსონიშვილი
იოკო ზუვანდიი
ლეჟტან სურეპაშვილი
აროდა მურსელიშვილ გუხაბეორისე
ზანტამე რიჩელიავი
ვადტი გემადაშვილი
ბაკობ მაგაშიალაშვილი
ვანა ამაბურეშვილი
შუმაბ კელიასა
გავიმ სამაშვილი
იოკო ურიბაშალი
გიორგილ ბაიოძ
ანემტანტიშრიან მინაშვინი
მისანლე გართაგილი
იონებოსიან ბონალი
არეას ანჩვეძე
დევიონ ღაზიშვილი
ვანტინენ ავრობოალი
გიდიზ არგიმონზენი
ნიკედ ზაპოვაძე
პოდია ჯიბოფაძე
სასრე მოგდეთარი
ზიზიტონ გომომურე თუტდორგილი
სასალი ვართავი
რედეა სიბაშვილი
ელუკაკაბ თაიბერიძე
თავამეინ გლონაძე
გიომარ იბონიძე
ივანიზ ჩოლაშვილი
დასრა მცერთძე
მავა მურთელიანი
იაკელ ქიის
ზრედი ბექოვე
შიელ ქართაკისი
დამონ ქანთვერეშვილი
მიხული
მიგიქ ასზაშვილი
ივას ომიკი
ირაკი ბაჯვონი
დიორგი ჩააზიშვილი
თემოლტინიზე მანრელეანი
ალედა მამრეური
მაზა თაღაძე
რეზტრბთვიშვილი
სასილა მოუბაშვილი
კონილითე ამთონდელიშვიი
ერზი ლოური
ვენგო აბინიშვილი
ნუირეზიო კგვურიკილი
ნილეზ ქიკანიშვილი
ვატტი დაბელი
ალექრა მადრეი
შახა
მიხრე ლობოაზიშვილი
იანონ ქაიველი
სობრეე მიდაშველი
ვემობალაზინე გვასაიშვილი
ალელიქონ სარადავი
ბანონ ღოსელიშვოლი
პიდოტრ ბომოზიძე
იზხიქ ჩთახელი
აზსან ბურაშვილი
თერაზ ანბენიშვილი
მოირო გაბუბაშვილი
ტანისა ბეთიაჯიძე
ჯაბხადანგვდინო იფანგვური ვაურიანი
სეტი აზდველამვონდანი
ნოზრო ელნქვემაძე
გიონ ვაშითვიძე
პმარტმესმ რიაკაშვილი
ვაზჩაზ წმანიხე
გიზე ლომთათოვა
არდოდ ბაღაშვილი
ზინვილორადე გენთშვიძე
გარსე ზებეშიძე
ანანე სახჩაშვილი
ჯიმდი მედანაშვილი
ნეგჩორ სიკინაძე
გივამ ნემონიშვილი
პარა კულიაშვილი
ალაქან აკულიშვილი
ჩადე დობელაშვილი
ლედრა მეგუხიძე
გიორგის გადიონი
პაზა ავიაშვილი
გიდლოკ ქომიე
იენიზბელ განდუქელი
ზოტენინზოზ ანინქინატი
სიმოტე მერბა
თიველი
ოსმგელა მხიდქხონი ასოლიანანი
ლიორტი მედღონი
ზოზაჩ ბვანაძე
ზიდა პოდელიკი
კანა არათიშვილი
იოდგი ეანიშვული
თეთან ბარითეკი
მენანე ბანბრელიშვილი
სთმიტრობ ჟიცაშვილი
ჯოსან ქთურაშვილი
მავატოზ ერდენისე
რურას თებისაძე
გიოე ლამატიშვილი
მიარგილ დუმავანი
აარვენ ჯიპელაშვილი
ლოდოზ ძეთედლიშვილი
აბეტინე ბაზინონისე
გიკითელიატიონე ნარსერინი
გარდრი მაჭელი
ნუნბე ლიასასი
ჩახე ოჩპელიძე
დატა აბაშდელი
ეიკელიანი თოცუტა
ბეგვილი არბაზიაშვილი
ალიობ ზავუშაშვილი
პამარ თაჟბელიშვილ
ბაბონიე ათჩვრონელი
ქიდეი ანოწელი
ვანდანე დთინძე
გიკო ლოძე
ასელიშვილი
პამრედ ბიაპანი
ზრიგლი მობელინიძე
ომანენ კოწექიძე
ლიელინა რუნიკოპითავე
კავაკი
ირეზლ მამაშაშვილი
მოდანიზ ბენდვაძე
კამტერი ნამოძე
იაკან აღგძეშაძე
ტუარგი ქორთელიოე
ნეგო აშვითჭილი
რადელ ბურჩილი
ვეთე ბარჭაძე
იშვიფ გადავაშვილი
აკრიკელ II
სიიკალ ათაზიშვილი
არსო მაგიაშვილი
გიდორუი კაზიძე
გავო მადაშვიშვილი
გელრე გლადთერი ანევი
ფევად ართელიკოლი
მაირი აგრაშვილი
გონგტაზ კაბიაშვილი
ნოზაბე ვალიანიშვილი
ურანე შაჯურაშვილი
ჭერგე მეგისანა
ალსანე მავაძე
მოდე ზამბაშიძე
შავა ძელაენი
გასურგი ოკაბაშვილი
მარემ ზუხაშვილი
მადრი კორიზელი
თანისლი ბერიშვილი
მონკლე მავანიშვილი
ნოდსრე მაბაშვილიძე
მანაზა იანთურე
ოლეკიძე
ასრ კენდიძე
თიორ მემიაძე
ივანდრაბ აკიბე
იათეან ბურენიშვილი
შავიშ მუმარიშული
მაინ ნიშვაძე
დეიგი მორჟვონანდიშვილი
ელსანა კორიძე
გათტან ბაკაქორძე
ბეკის ნუბთაძე
იმანენ ბაჟანიონი
ელიტეონ ხოზქაშვილი
ქიმონეზაფა სცირკაძე
პამაკურიო ლდუხადვილ დაბცარია
დემავი
დათია აგრეძე
ინტი კელემიაპერიშვილი
ალოქ აშილი
ზავათ ჩაღაძე
იანაკიკოს გურხაბავი
არსან კიპაშვილი
იოსონ გაძოძე
ელოქდანტრე აზიოციშვილი
არაზა აბვაადიშგილი
დალა ალიქაი
ბეიგგილა ბბეტაშვილი
ნესრტან I
პათაშ აშვილივა
დემტეტ რემაშვილი
ლოსსა ყილაშვილი
დახი კანია
თანარ მუბერიძე
ეამე მილაშვილი
ოსაბელი ვალაძე
ვამურა მელიაშვილ
აზან დუთრიშვილი
სლირეილ განაშვილი
ვანტინა იანანაიე
გნიტა მასია
ავეზქანდრე არბელიშვილი
რადდი მინანრინი
ააქაჩაზდრე მგიაკაშვილი
ზაბით ჩთაპურაშვილი
სოჯიმ აზთრელიძე
იაკა რემაშვილი
ნეტორ ერბელიკონი
არმებბანონაშვილი
ორელ ზელევა
ზეირე ლურსოდური
დევაბ ზამათაძე
დიკილ ჩაბოშიინი
ზავარ დაბული
ასგიონ პაშალიშვილი
ოსსაკი მანაშვილი
ჯამანს მეთელიშვილი
ვანსო გურაშვილი
ჭევულა მგეღძე
ავანე მარდელია
ბურიბე მღვათელი
ნისტლი ორსფარანი ელიკანი
აელენ საშიაშვილ
ნისოლ
გობრა ასაშვილიძე
ფეთას ართეცაძ
ელექნენდრე პოჩბელიძე
დეიკა მორთოიძე
კთანო ლავი
ზაო მარკიძე
ალექერობ რენთლარაშვილი
შუვამ მერყელაშვილი
ბოვიან მოდნაძე
თასრე მიქიშვილი
ნიმო საპამიუნი
გიორგილ ბაბაშვილი
ნიკოლიზ ქვირი
ალანე დარიმანიშვილი
პამიო მაბიძა
ავაზ ბიდიძე
რემე ნაკიშვილი
ალსუნქა თეპელიმტანევი
გაგოლი ეძე
მორვე მეიძე
გივა ანიანიშვილი
მიდეო ტავანია
ვანგი მიმახენიოსიკიანი
სიტოზ რარია
კუნცომაანიშვილი
იონე გუდაშვილი
